Start (s),End (s),Scientific name,Common name,Confidence,File
18,21,Spinus pinus,Pine Siskin,0.9403,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230723_081900.wav
42,45,Spinus pinus,Pine Siskin,0.94,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_082900.wav
33,36,Anthus rubescens,American Pipit,0.9397,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230820_085000.wav
39,42,Vanellus vanellus,Northern Lapwing,0.9395,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230819_215300.wav
21,24,Anthus rubescens,American Pipit,0.9395,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230826_095500.wav
27,30,Anthus rubescens,American Pipit,0.9376,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_075200.wav
42,45,Spinus pinus,Pine Siskin,0.9371,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230723_073900.wav
27,30,Setophaga coronata,Yellow-rumped Warbler,0.9349,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_100700.wav
18,21,Vanellus vanellus,Northern Lapwing,0.9347,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230802_100500.wav
21,24,Anthus rubescens,American Pipit,0.9345,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_102100.wav
12,15,Charadrius semipalmatus,Semipalmated Plover,0.9341,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_210700.wav
27,30,Spinus pinus,Pine Siskin,0.9339,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230723_073900.wav
24,27,Spinus pinus,Pine Siskin,0.9333,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_073200.wav
27,30,Spizelloides arborea,American Tree Sparrow,0.933,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230803_054100.wav
27,30,Spinus pinus,Pine Siskin,0.9323,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_102300.wav
48,51,Spinus pinus,Pine Siskin,0.9315,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_195700.wav
9,12,Turdus pilaris,Fieldfare,0.9312,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_214800.wav
36,39,Spinus pinus,Pine Siskin,0.9312,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230820_104500.wav
48,51,Sitta canadensis,Red-breasted Nuthatch,0.9309,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_072400.wav
6,9,Spinus pinus,Pine Siskin,0.9305,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230722_090300.wav
12,15,Vanellus vanellus,Northern Lapwing,0.9298,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230804_210300.wav
36,39,Spinus pinus,Pine Siskin,0.9296,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_063400.wav
48,51,Vanellus vanellus,Northern Lapwing,0.9295,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230802_092000.wav
15,18,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.9287,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230824_142700.wav
42,45,Anthus rubescens,American Pipit,0.9283,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230826_095000.wav
18,21,Anthus rubescens,American Pipit,0.9281,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230828_112400.wav
57,60,Spinus pinus,Pine Siskin,0.9276,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_101700.wav
27,30,Spinus pinus,Pine Siskin,0.9265,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230813_083300.wav
57,60,Progne subis,Purple Martin,0.9263,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230805_203000.wav
3,6,Spinus pinus,Pine Siskin,0.9261,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230722_090300.wav
57,60,Spinus pinus,Pine Siskin,0.926,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230819_125800.wav
33,36,Anthus rubescens,American Pipit,0.9252,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_102100.wav
3,6,Corvus corax,Common Raven,0.9234,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230729_184300.wav
24,27,Spinus pinus,Pine Siskin,0.9232,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230803_092600.wav
18,21,Corvus corax,Common Raven,0.9232,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_091400.wav
18,21,Anthus rubescens,American Pipit,0.9227,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230807_075800.wav
24,27,Progne subis,Purple Martin,0.9225,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_102000.wav
12,15,Spinus pinus,Pine Siskin,0.9222,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_210200.wav
27,30,Spinus pinus,Pine Siskin,0.9196,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230807_082800.wav
39,42,Spizelloides arborea,American Tree Sparrow,0.9195,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230723_054400.wav
18,21,Anthus rubescens,American Pipit,0.9193,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_204200.wav
